code_ligne,v_ouvre,v_dimanche,deficit_trafic_pct,passages,indice_retards
9,13.4,15.2,11.9,140081.0,2.9
18,14.3,16.6,13.6,674352.0,12.1
CITL,14.5,17.0,14.6,445302.0,13.6
926,14.7,,,4910.0,
NVL,14.7,,,53772.0,
52,14.8,18.1,18.5,145409.0,6.8
916,15.7,,,1551.0,
955,15.7,,,884.0,
L5,15.9,18.4,13.4,1201519.0,17.7
L3,16.0,17.9,10.3,859315.0,9.2
L8,16.2,18.4,11.9,1122516.0,10.7
14,16.3,18.4,11.7,940272.0,14.7
C12,16.4,,,60163.0,4.9
C9,16.4,18.6,12.1,237783.0,8.1
10,16.4,18.8,12.7,786738.0,18.2
C8,16.4,,,47850.0,
CITA,16.5,,,150419.0,9.5
CIT5,16.5,18.1,8.7,945182.0,13.2
920,16.6,,,3345.0,
908,16.7,,,4755.0,
L7,17.0,18.8,9.6,464116.0,9.6
50,17.2,20.1,14.4,612061.0,7.7
30,17.2,19.8,12.9,215420.0,8.2
913,17.3,,,2610.0,
67,17.3,20.8,17.1,121371.0,12.7
13,17.3,20.0,13.3,868446.0,12.4
15,17.3,20.3,14.7,395810.0,7.0
922,17.4,,,5333.0,
58,17.6,20.1,12.6,302762.0,11.6
L1,17.6,19.5,9.8,1233233.0,15.9
Z4,17.7,,,22094.0,7.1
L4,17.9,20.3,12.0,1323291.0,16.4
CO1,18.0,,,252487.0,6.6
17,18.0,20.2,10.7,340324.0,4.6
CITT,18.0,20.8,13.6,572151.0,12.9
RME1,18.0,16.8,-7.2,21687.0,
Z1,18.1,,,37906.0,5.0
L2,18.1,20.4,11.2,575583.0,4.4
51,18.2,20.0,8.8,154270.0,3.1
34,18.6,20.9,10.8,517524.0,9.7
969,18.7,,,6067.0,
N1,18.7,,,17692.0,
907,19.0,,,4595.0,
CITH,19.0,20.1,5.4,88352.0,2.5
CO2,19.1,23.0,17.2,595885.0,20.3
923,19.1,,,5682.0,
C11,19.1,,,51463.0,3.8
33,19.3,22.8,15.1,569060.0,11.2
L6,19.4,21.5,9.9,400166.0,5.3
32,19.5,22.6,13.9,359717.0,5.0
919,19.7,,,3960.0,
Z6,19.8,,,43018.0,9.0
CO3,19.8,,,538168.0,10.8
L92,19.8,24.2,18.2,481122.0,10.6
88,19.9,,,92385.0,18.3
921,19.9,,,4980.0,
MWR,20.0,22.6,11.4,65898.0,17.8
967,20.3,,,4342.0,
968,20.3,,,7214.0,
36,20.3,22.8,11.0,215931.0,8.7
68,20.3,24.3,16.5,69767.0,7.2
C10,20.3,,,129563.0,5.1
906,20.4,,,3722.0,
87,20.4,23.2,12.4,216508.0,9.2
89,20.5,25.0,17.9,161118.0,7.6
901,20.7,,,1903.0,
915,20.8,,,4710.0,
945,20.8,,,8846.0,
84,20.8,23.8,12.5,332821.0,15.5
55,21.0,24.4,14.0,201342.0,8.9
909,21.1,,,3041.0,
911,21.2,,,4273.0,
35,21.4,24.5,12.8,550782.0,11.4
917,21.4,,,11716.0,
L91,21.4,24.0,10.8,516466.0,18.5
914,21.5,,,1934.0,
60E,21.7,,,15193.0,
Z2,21.9,,,33244.0,13.6
924,22.1,,,5872.0,
928,22.2,,,2963.0,
944,22.3,,,7592.0,
Z8,22.4,,,17974.0,8.3
L99,22.5,24.6,8.7,365445.0,14.4
L90,22.5,25.0,9.9,436666.0,11.4
912,23.0,,,1805.0,
930,23.0,,,3900.0,
978,23.0,,,9943.0,
78,23.1,,,50107.0,10.0
942,23.1,,,6204.0,
938,23.1,,,2651.0,
61,23.1,,,163750.0,6.1
L91E,23.1,,,11092.0,
Z3,23.1,,,12546.0,6.3
BRT1,23.3,,,2789.0,
80,23.4,23.7,1.1,202380.0,13.4
76,23.5,24.9,5.8,273380.0,6.7
931,23.6,,,3040.0,
927,23.9,,,1053.0,
73,23.9,,,20254.0,14.8
902,24.1,,,13954.0,
86,24.2,26.0,6.8,335485.0,14.6
905,24.2,,,951.0,
932,24.2,,,5484.0,
935,24.3,,,4946.0,
933,24.6,,,7122.0,
929,25.2,,,3701.0,
66,25.2,28.2,10.5,276344.0,9.5
934,25.4,,,5067.0,
82,25.7,,,318347.0,21.6
903,25.8,,,2549.0,
64,25.8,,,77790.0,7.4
72,26.0,29.9,13.0,105380.0,16.0
81,26.3,,,37563.0,11.6
940,26.4,,,3808.0,
904,26.8,,,1886.0,
62,26.9,,,53228.0,4.6
910,27.3,,,5658.0,
943,27.7,,,3304.0,
65,27.8,,,60606.0,12.1
236,29.1,,,16720.0,
941,29.5,,,1755.0,
75,30.9,,,58557.0,15.4
975,34.8,,,1133.0,
BRT,,,,3126.0,
